date,amm_busheling_midwest,hr_coil,alluminum,iron_ore,turkish_scrap,nue
1/1/06,408,563,3082,55,404,64
1/2/06,180,1057,2186,58,189,74
1/3/06,408,976,1849,89,426,68
1/4/06,292,898,1686,148,194,28
1/5/06,398,1067,1509,54,417,81
1/6/06,286,1003,2537,59,221,45
1/7/06,217,597,2227,165,292,37
1/8/06,395,855,2226,88,178,66
1/9/06,348,372,2415,187,308,45
1/10/06,352,580,2004,161,211,82
1/11/06,481,580,2703,80,244,37
1/12/06,334,713,2436,45,271,77
1/13/06,346,1001,2820,82,476,70
1/14/06,215,578,1807,177,207,39
1/15/06,402,479,1882,60,453,52
1/16/06,273,1055,3279,43,190,43
1/17/06,493,577,1999,112,452,36
1/18/06,335,914,2138,50,220,59
1/19/06,404,1038,2259,101,235,43
1/20/06,461,671,2830,97,297,76
1/21/06,172,701,1324,90,500,80
1/22/06,300,493,1503,125,461,70
1/23/06,193,813,2584,173,278,48
1/24/06,327,438,2918,187,433,42
1/25/06,490,673,2661,63,407,52
1/26/06,478,963,2782,67,284,55
1/27/06,315,821,1303,106,174,80
1/28/06,409,1073,3084,181,381,55
1/29/06,407,983,1998,80,171,52
1/30/06,459,540,1932,42,399,65
1/31/06,374,569,1639,69,339,62
2/1/06,293,1041,1563,124,237,74
2/2/06,279,760,2260,57,262,78
2/3/06,271,817,2022,182,303,29
2/4/06,500,1029,1739,72,358,66
2/5/06,351,1038,1875,161,489,42
2/6/06,214,440,1349,167,365,81
2/7/06,491,660,1331,141,495,72
2/8/06,191,541,3247,177,212,49
2/9/06,342,766,3073,56,172,43
2/10/06,163,793,3207,116,303,40
2/11/06,319,403,1314,145,275,70
2/12/06,403,797,1949,122,336,76
2/13/06,242,767,2925,71,318,45
2/14/06,307,946,2351,77,169,27
2/15/06,510,690,1934,100,287,46
2/16/06,268,936,1562,110,355,30
2/17/06,253,397,2683,107,364,52
2/18/06,357,676,2778,188,405,32
2/19/06,444,891,2151,85,388,28
2/20/06,251,792,1969,117,388,46
2/21/06,299,432,2037,114,392,51
2/22/06,235,848,2945,127,214,27
2/23/06,505,621,1480,126,220,51
2/24/06,236,521,1432,87,274,28
2/25/06,234,1001,3201,109,227,30
2/26/06,347,625,3041,159,203,60
2/27/06,233,536,1699,102,505,73
2/28/06,471,978,3180,103,189,48
3/1/06,344,543,3160,166,321,40
3/2/06,425,534,1507,118,176,36
3/3/06,472,589,2929,166,364,38
3/4/06,392,841,2802,59,285,31
3/5/06,416,983,1328,78,213,80
3/6/06,206,785,2135,154,204,45
3/7/06,433,556,1733,172,483,55
3/8/06,263,1018,2720,63,360,51
3/9/06,453,903,2473,183,354,65
3/10/06,366,467,1875,104,383,58
3/11/06,512,930,1496,77,378,53
3/12/06,340,613,2115,188,325,48
3/13/06,182,934,3240,187,364,31
3/14/06,470,644,1668,64,219,28
3/15/06,431,994,1641,52,273,45
3/16/06,431,777,2000,71,380,40
3/17/06,280,512,2780,61,283,48
3/18/06,258,448,2277,85,449,77
3/19/06,368,988,1285,161,268,35
3/20/06,202,869,3120,112,495,49
3/21/06,170,663,2377,89,234,76
3/22/06,287,517,2437,175,213,35
3/23/06,476,736,2823,179,479,27
3/24/06,324,752,1779,127,346,49
3/25/06,485,851,1358,162,300,31
3/26/06,348,683,2653,91,332,49
3/27/06,233,532,2057,176,406,62
3/28/06,347,791,2328,53,274,76
3/29/06,424,1056,2775,62,281,39
3/30/06,274,589,1901,97,441,27
3/31/06,444,465,2466,148,324,51
4/1/06,368,1037,1716,162,302,76
4/2/06,441,686,2401,110,401,67
4/3/06,366,674,1260,191,237,64
4/4/06,211,443,2871,166,349,47
4/5/06,491,994,2351,138,479,58
4/6/06,284,623,3254,132,429,76
4/7/06,181,550,2468,84,509,44
4/8/06,255,800,2389,40,327,80
